"job_id","sim_id","seed","sim_seed","sim_key","grid_profile","nrep","nsample","p_train","method_preset","a_stage_model","fusion_mode","screen_method","sis_n","sis_rank","lambda_choice","glmnet_alpha","fdr_method","q_thresholds","fdr_scope","top_n","outcome_type","ygen_mode","b_inference","debias_max_targets","coop_rho","bootstrap_repeats","residualize","maaslin2_random_effect","maaslin2_normalization","maaslin2_transform","maaslin2_analysis_method","maaslin2_standardize","snr","n_pathways","TIE"
1,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
2,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
3,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
4,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
5,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
6,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
7,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
8,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
9,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
10,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
11,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
12,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
13,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
14,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
15,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
16,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
17,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
18,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
19,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
