"sim_id","sim_seed","sim_key","grid_profile","nrep","nsample","p_train","outcome_type","ygen_mode","snr","n_pathways","TIE"
1,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"continuous","LM",1,10,1
2,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"continuous","LM",1,30,1
3,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"continuous","LM",2,10,1
4,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"continuous","LM",2,30,1
5,100500,"small_n||10||100||1||continuous||LM||1||10||1","small_n",10,100,1,"continuous","LM",1,10,1
6,100600,"small_n||10||100||1||continuous||LM||1||30||1","small_n",10,100,1,"continuous","LM",1,30,1
7,100700,"small_n||10||100||1||continuous||LM||2||10||1","small_n",10,100,1,"continuous","LM",2,10,1
8,100800,"small_n||10||100||1||continuous||LM||2||30||1","small_n",10,100,1,"continuous","LM",2,30,1
9,100900,"small_n||10||200||1||continuous||LM||1||10||1","small_n",10,200,1,"continuous","LM",1,10,1
10,101000,"small_n||10||200||1||continuous||LM||1||30||1","small_n",10,200,1,"continuous","LM",1,30,1
11,101100,"small_n||10||200||1||continuous||LM||2||10||1","small_n",10,200,1,"continuous","LM",2,10,1
12,101200,"small_n||10||200||1||continuous||LM||2||30||1","small_n",10,200,1,"continuous","LM",2,30,1
13,101300,"small_n||10||300||1||continuous||LM||1||10||1","small_n",10,300,1,"continuous","LM",1,10,1
14,101400,"small_n||10||300||1||continuous||LM||1||30||1","small_n",10,300,1,"continuous","LM",1,30,1
15,101500,"small_n||10||300||1||continuous||LM||2||10||1","small_n",10,300,1,"continuous","LM",2,10,1
16,101600,"small_n||10||300||1||continuous||LM||2||30||1","small_n",10,300,1,"continuous","LM",2,30,1
17,101700,"small_n||10||500||1||continuous||LM||1||10||1","small_n",10,500,1,"continuous","LM",1,10,1
18,101800,"small_n||10||500||1||continuous||LM||1||30||1","small_n",10,500,1,"continuous","LM",1,30,1
19,101900,"small_n||10||500||1||continuous||LM||2||10||1","small_n",10,500,1,"continuous","LM",2,10,1
20,102000,"small_n||10||500||1||continuous||LM||2||30||1","small_n",10,500,1,"continuous","LM",2,30,1
