"omics","mediator","a","p_a","q_a","b","p_b","selected_by_screen","selected_by_sis","score","abs_score","joint_p_ab","p_primary","q_primary_within_view","q_primary","p_primary_model_based","q_primary_global"
"species","GGB9635_SGB15106|t__SGB15106",0.762048331371,0.0199121696133965,0.477206380323382,16.7109211229004,8.1140993035529e-05,TRUE,TRUE,12.7345295573786,12.7345295573786,0.0199121696133965,0.0199121696133965,0.0199121696133965,0.0199121696133965,0.0199121696133965,0.0199121696133965
"species","Anaerosacchariphilus_sp_NSJ_68|t__SGB4772",0.956776237936487,0.0027068761952059,0.202177537011835,-1.09902948178553,0.0055933417145928,TRUE,TRUE,-1.05152529296404,1.05152529296404,0.0055933417145928,0.0055933417145928,0.0111866834291856,0.0111866834291856,0.0055933417145928,0.0111866834291856
"species","Butyricimonas_faecalis|t__SGB1782",1.18372482856641,0.000108841498114041,0.0876174059818031,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Coprobacter_secundus|t__SGB1962",1.1182606433933,0.000310779129280645,0.12508859953546,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Muribaculum_gordoncarteri|t__SGB2087",1.04774310045417,0.000855367736755738,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Faecalibacterium_SGB15346|t__SGB15346",1.02463851580128,0.00116393562316577,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Faecalibacterium_prausnitzii|t__SGB15316_group",0.995361440647172,0.00169328284331313,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Intestinibacter_bartlettii|t__SGB6140",0.978437655924427,0.00208719363622927,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9730_SGB15291|t__SGB15291",0.968024225801712,0.00236757080244679,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Blautia_sp_OF03_15BH|t__SGB4779",0.959556022032589,0.00261930146373928,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Turicibacter_sanguinis|t__SGB6847",0.95602026904659,0.00273112958588061,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB1266_SGB1699|t__SGB1699",0.95504573914159,0.00276267441879526,0.202177537011835,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Alistipes_communis|t__SGB2290",0.893020509178941,0.0055489395076902,0.366942025912452,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9667_SGB15164|t__SGB15164",-0.886869719858918,0.00592577184703339,0.366942025912452,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcaceae_bacterium|t__SGB53821",0.867947026661623,0.00722629051002343,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB3256_SGB4303|t__SGB4303",0.863462787049946,0.00756805002296001,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9633_SGB15090|t__SGB15090",0.862214813454286,0.00766558779881437,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Desulfovibrio_piger|t__SGB15467_group",0.852969092638815,0.00842228157198574,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Firmicutes_bacterium_AF16_15|t__SGB4993",0.851143855896137,0.0085789677031113,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB2982_SGB3964|t__SGB3964",-0.848093386862515,0.00884638669745967,0.373075350135627,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
