"rep","fusion_mode","n_tested","n_true","n_active","true_active","false_active","precision","recall","fdr","top50_true","top50_precision","error"
1,"early",658,30,15,12,3,0.8,0.4,0.2,14,0.28,NA
1,"intermediate",658,30,7,6,1,0.857142857142857,0.2,0.142857142857143,16,0.32,NA
1,"late",658,30,11,9,2,0.818181818181818,0.3,0.181818181818182,19,0.38,NA
2,"early",658,30,11,11,0,1,0.366666666666667,0,21,0.42,NA
2,"intermediate",658,30,3,3,0,1,0.1,0,13,0.26,NA
2,"late",658,30,5,5,0,1,0.166666666666667,0,15,0.3,NA
3,"early",658,30,16,15,1,0.9375,0.5,0.0625,25,0.5,NA
3,"intermediate",658,30,1,1,0,1,0.0333333333333333,0,11,0.22,NA
3,"late",658,30,9,9,0,1,0.3,0,19,0.38,NA
4,"early",658,30,12,10,2,0.833333333333333,0.333333333333333,0.166666666666667,22,0.44,NA
4,"intermediate",658,30,7,6,1,0.857142857142857,0.2,0.142857142857143,16,0.32,NA
4,"late",658,30,9,8,1,0.888888888888889,0.266666666666667,0.111111111111111,18,0.36,NA
5,"early",658,30,15,15,0,1,0.5,0,22,0.44,NA
5,"intermediate",658,30,6,6,0,1,0.2,0,16,0.32,NA
5,"late",658,30,10,10,0,1,0.333333333333333,0,20,0.4,NA
6,"early",658,30,10,10,0,1,0.333333333333333,0,20,0.4,NA
6,"intermediate",658,30,5,5,0,1,0.166666666666667,0,16,0.32,NA
6,"late",658,30,9,9,0,1,0.3,0,19,0.38,NA
7,"early",658,30,10,10,0,1,0.333333333333333,0,20,0.4,NA
7,"intermediate",658,30,8,7,1,0.875,0.233333333333333,0.125,17,0.34,NA
7,"late",658,30,10,9,1,0.9,0.3,0.1,19,0.38,NA
8,"early",658,30,16,14,2,0.875,0.466666666666667,0.125,24,0.48,NA
8,"intermediate",658,30,3,3,0,1,0.1,0,13,0.26,NA
8,"late",658,30,7,7,0,1,0.233333333333333,0,17,0.34,NA
9,"early",658,30,14,14,0,1,0.466666666666667,0,19,0.38,NA
9,"intermediate",658,30,7,7,0,1,0.233333333333333,0,17,0.34,NA
9,"late",658,30,9,9,0,1,0.3,0,19,0.38,NA
10,"early",658,30,10,10,0,1,0.333333333333333,0,21,0.42,NA
10,"intermediate",658,30,5,5,0,1,0.166666666666667,0,15,0.3,NA
10,"late",658,30,11,11,0,1,0.366666666666667,0,22,0.44,NA
